SAL_CODE_2021,SAL_NAME_2021,STATE_CODE_2021
10423,Boat Harbour (Lismore - NSW),1
10424,Boat Harbour (Port Stephens - NSW),1
10425,Bobadah,1
10426,Bobin,1
10427,Bobs Creek,1
10428,Bobs Farm,1
10429,Bobundara,1
10430,Boco,1
10431,Bocoble,1
10432,Bocobra,1
10433,Bodalla,1
10434,Bodangora,1
10435,Boeill Creek,1
10436,Bogan,1
10437,Bogan Gate,1
10438,Bogangar,1
10439,Bogee,1
10440,Boggabilla,1
10441,Boggabri,1
10442,Bogong Peaks Wilderness,1
10443,Bohena Creek,1
10444,Bohnock,1
10445,Bolaro,1
10446,Bolivia,1
10447,Bolong,1
10448,Bolton Point,1
10449,Bolwarra (NSW),1
10450,Bolwarra Heights,1
10451,Bom Bom,1
10452,Bomaderry,1
10453,Bombah Point,1
10454,Bombala,1
10455,Bombay,1
10456,Bombira,1
10457,Bombo,1
10458,Bombowlee,1
10459,Bombowlee Creek,1
10460,Bomen,1
10461,Bonalbo,1
10462,Bondi,1
10463,Bondi Beach,1
10464,Bondi Forest,1
10465,Bondi Junction,1
10466,Bonnells Bay,1
10467,Bonnet Bay,1
10468,Bonny Hills,1
10469,Bonnyrigg,1
10470,Bonnyrigg Heights,1
10471,Bonshaw (NSW),1
10472,Bonville,1
10473,Booerie Creek,1
10474,Book Book,1
10475,Booker Bay,1
10476,Bookham,1
10477,Bookookoorara,1
10478,Bookram,1
10479,Boolambayte,1
10480,Boolaroo,1
10481,Boolcarroll,1
10482,Booligal,1
10483,Boolijah,1
10484,Boomanoomana,1
10485,Boomerang Beach,1
10486,Boomey,1
10487,Boomi,1
10488,Boomi Creek,1
10489,Boona Mount,1
10490,Boonal,1
10491,Boonoo Boonoo,1
10492,Boorabee Park,1
10493,Booragul,1
10494,Booral (NSW),1
10495,Boorga,1
10496,Boorganna,1
10497,Boorolong,1
10498,Boorook,1
10499,Boorooma,1
10500,Booroorban,1
10501,Boorowa,1
10502,Bootawa,1
10503,Booti Booti,1
10504,Booyong,1
10505,Bora Ridge,1
10506,Borah Creek,1
10507,Borambola,1
10508,Border Ranges,1
10509,Boree,1
10510,Boree Creek,1
10511,Borenore,1
10512,Boro,1
10513,Bossley Park,1
10514,Bostobrick,1
10515,Botany,1
10516,Botobolar,1
10517,Bottle Creek,1
10518,Bouddi,1
10519,Bourbah,1
10520,Bourke,1
10521,Bourkelands,1
10522,Bournda,1
10523,Bournewood,1
10524,Bow Bowing,1
10525,Bowan Park,1
10526,Bowen Mountain,1
10527,Bowenfels,1
10528,Bowling Alley Point,1
10529,Bowman,1
10530,Bowman Farm,1
10531,Bowmans Creek,1
10532,Bowna,1
10533,Bowning,1
10534,Bowral,1
10535,Bowraville,1
10536,Box Head,1
10537,Box Hill (NSW),1
10538,Boxers Creek,1
10539,Boydtown,1
10540,Bradbury (NSW),1
10541,Braefield,1
10542,Braemar,1
10543,Braemar Bay,1
10544,Braidwood,1
10545,Brandy Hill,1
10546,Branxton,1
10547,Braunstone,1
10548,Brawboy,1
10549,Bray Park (NSW),1
10550,Brays Creek,1
10551,Brayton,1
10552,Breadalbane (NSW),1
10553,Breakfast Creek,1
10554,Breakfast Point,1
10555,Bream Beach,1
10556,Bredbo,1
10557,Breelong,1
10558,Breeza,1
10559,Bretti,1
10560,Brewarrina,1
10561,Brewongle,1
10562,Briarbrook,1
10563,Bribbaree,1
10564,Bridgman,1
10565,Brierfield,1
10566,Brighton-Le-Sands,1
10567,Brightwaters,1
10568,Bril Bril,1
10569,Brimbin,1
10570,Brindabella,1
10571,Brinerville,1
10572,Bringelly,1
10573,Bringenbrong,1
10574,Brisbane Grove,1
10575,Broadmeadow,1
10576,Broadwater (Bega Valley - NSW),1
10577,Broadwater (Richmond Valley - NSW),1
10578,Broadway,1
10579,Brobenah,1
10580,Brocklehurst,1
10581,Brocklesby,1
10582,Brockley,1
10583,Brodies Plains,1
10584,Brogans Creek,1
10585,Brogers Creek,1
10586,Brogo,1
10587,Broke (NSW),1
10588,Broken Head,1
10589,Broken Hill,1
10590,Brombin,1
10591,Bronte,1
10592,Brookdale (NSW),1
10593,Brookfield (NSW),1
10594,Brooklana,1
10595,Brooklet,1
10596,Brooklyn (NSW),1
10597,Brookong,1
10598,Brookvale,1
10599,Brooman,1
10600,Brooms Head,1
10601,Broughams Gate,1
10602,Broughton (NSW),1
10603,Broughton Vale,1
10604,Broughton Village,1
10605,Broulee,1
10606,Brownlow Hill,1
10607,Browns Creek,1
10608,Browns Mountain,1
10609,Brownsville,1
10610,Brucedale,1
10611,Bruie Plains,1
10612,Bruinbun,1
10613,Brumby Plains,1
10614,Brundee,1
10615,Brungle,1
10616,Brungle Creek,1
10617,Brunkerville,1
10618,Brunswick Heads,1
10619,Brushgrove,1
10620,Brushy Creek,1
10621,Buangla,1
10622,Bucca (NSW),1
10623,Bucca Wauka,1
10624,Buccarumbi,1
10625,Buchanan (NSW),1
10626,Buckajo,1
10627,Buckaroo,1
10628,Buckenbowra,1
10629,Buckenderra,1
10630,Buckendoon,1
10631,Bucketty,1
10632,Buckra Bendinni,1
10633,Budawang,1
10634,Buddabadah,1
10635,Budden,1
10636,Budderoo,1
10637,Buddong,1
10638,Budgee Budgee (NSW),1
10639,Budgewoi,1
10640,Budgewoi Peninsula,1
10641,Budgong,1
10642,Buff Point,1
10643,Bugaldie,1
10644,Bukalong,1
10645,Bukkulla,1
10646,Bulahdelah,1
10647,Bulee,1
10648,Bulga (NSW),1
10649,Bulga Forest,1
10650,Bulgary,1
10651,Bulla (NSW),1
10652,Bulla Creek,1
10653,Bullaburra,1
10654,Bullagreen,1
10655,Bullarah,1
10656,Bullatale,1
10657,Bullawa Creek,1
10658,Bulldog,1
10659,Bulli,1
10660,Bulliac,1
10661,Bullio,1
10662,Bulyeroi,1
10663,Bumbaldry,1
10664,Bumbalong,1
10665,Bundabah,1
10666,Bundagen,1
10667,Bundanoon (NSW),1
10668,Bundarra,1
10669,Bundeena,1
10670,Bundella,1
10671,Bundemar,1
10672,Bundewallah,1
10673,Bundook,1
10674,Bundure,1
10675,Bungaba,1
10676,Bungabbee,1
10677,Bungalora,1
10678,Bungarby,1
10679,Bungarribee,1
10680,Bungawalbin,1
10681,Bungendore,1
10682,Bungonia,1
10683,Bungowannah,1
10684,Bungwahl,1
10685,Bunnaloo,1
10686,Bunnan,1
10687,Bunyah,1
10688,Bunyan,1
10689,Burcher,1
10690,Bureen,1
10691,Burnt Bridge,1
10692,Burnt Yards,1
10693,Buronga,1
10694,Burra (Queanbeyan-Palerang Regional - NSW),1
10695,Burra (Snowy Valleys - NSW),1
10696,Burra Creek,1
10697,Burraboi,1
10698,Burradoo,1
10699,Burraga,1
10700,Burragate,1
10701,Burrandana,1
10702,Burraneer,1
10703,Burrangong,1
10704,Burrapine,1
10705,Burrawang,1
10706,Burrell Creek,1
10707,Burren Junction,1
10708,Burrier,1
10709,Burrill Lake,1
10710,Burringbar,1
10711,Burrinjuck,1
10712,Burroway,1
10713,Burrumbuttock,1
10714,Burrundulla,1
10715,Burrungubugge,1
10716,Burwood (NSW),1
10717,Burwood Heights,1
10718,Busby,1
10719,Busbys Flat,1
10720,Bushells Ridge,1
10721,Buttaba,1
10722,Buttai,1
10723,Butterwick,1
10724,Buxton (NSW),1
10725,Byabarra,1
10726,Byadbo Wilderness,1
10727,Byangum,1
10728,Bylong,1
10729,Byng,1
10730,Byrock,1
10731,Byron Bay,1
10732,Byrrill Creek,1
10733,Bywong,1
10734,Cabarita (NSW),1
10735,Cabarita Beach,1
10736,Cabbage Tree Island (Ballina - NSW),1
10737,Cabbage Tree Island (Mid-Coast - NSW),1
10738,Cabramatta,1
10739,Cabramatta West,1
10740,Cabramurra,1
10741,Caddens,1
10742,Cadgee (NSW),1
10743,Cadia,1
10744,Caerleon,1
10745,Caffreys Flat,1
10746,Cairncross,1
10747,Calala,1
10748,Calamia,1
10749,Calderwood,1
10750,Caldwell,1
10751,Calga,1
10752,Califat,1
10753,Calimo,1
10754,Callaghan,1
10755,Callaghans Creek,1
10756,Callala Bay,1
10757,Callala Beach,1
10758,Calliope (NSW),1
10759,Caloola,1
10760,Cambalong,1
10761,Camberwell (NSW),1
10762,Cambewarra,1
10763,Cambewarra Village,1
10764,Camboon (NSW),1
10765,Cambra,1
10766,Cambridge Gardens,1
10767,Cambridge Park,1
10768,Cambridge Plateau,1
10769,Camden,1
10770,Camden Head,1
10771,Camden Park (NSW),1
